,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,5,GPS_L1,1273530263366999980,-1923470.92,-26369681.385,-916584.894,320.791,-116.612,3166.526,-3793.527,-0.001,22614364.153,3.298,0.0,6.748,4.872,22610559.006,G5,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
1,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,19,GPS_L1,1273530263360469487,17158896.972,-16483597.897,11482724.798,1442.074,-462.185,-2748.48,-47595.427,0.001,24572156.702,3.897,0.0,9.171,13.441,24524538.663,G19,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
2,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,25,GPS_L1,1273530263372430403,-14619057.439,-6569581.002,20984111.527,16.964,-2714.492,-802.619,1223.496,0.0,20986364.294,2.398,0.0,4.423,3.089,20987580.277999997,G25,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
3,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,29,GPS_L1,1273530263365656787,-22682111.891,1349146.908,13727351.98,1482.882,-933.757,2531.565,-31298.867,-0.003,23017043.284,3.298,0.0,6.963,5.365,22985732.089000005,G29,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
4,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,31,GPS_L1,1273530263357275624,-7366462.027,13359860.906,21691630.516,-2395.093,-1384.509,83.932,-12713.404,-0.001,25529652.741,3.598,0.0,9.668,44.246,25516885.423,G31,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
5,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,2,GPS_L1,1273530263371577307,-3770248.758,-17480278.104,20296686.411,2248.272,944.621,1266.223,-136679.978,-0.0,21242116.041,1.199,0.0,3.958,2.736,21105429.369,G2,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
6,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,6,GPS_L1,1273530263366469699,8083446.0,-12453875.275,22076155.322,2432.695,1354.658,-122.45,-81412.91,-0.002,22773338.398,1.799,0.0,6.006,4.718,22691914.764,G6,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
7,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,12,GPS_L1,1273530263375489451,-10643263.995,-17121003.288,17139866.096,256.139,-2201.746,-1997.09,35343.641,-0.002,20069284.775,1.499,0.0,3.755,2.51,20104622.150999997,G12,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
8,2020-05-14-US-MTV-1,Pixel4,1273530263442,1,24,GPS_L1,1273530263363515695,-21409818.31,-15012767.867,-5856514.952,777.861,28.029,-2980.927,-3908.68,0.001,23658926.518,11.992,0.0,8.207,6.395,23655003.236,G24,1273530264442,-2702720.9985008864,-4285335.038071663,3861477.418676493,1831.5999104886496
0,2020-05-14-US-MTV-1,Pixel4,1273530264442,1,5,GPS_L1,1273530264367001697,-1923150.121,-26369797.806,-913418.353,320.805,-116.231,3166.545,-3793.528,-0.001,22613849.41,2.998,0.0,6.747,4.871,22610044.264,G5,1273530265442,-2702730.4618992233,-4285315.32153025,3861492.590004151,1841.8367046056767
1,2020-05-14-US-MTV-1,Pixel4,1273530264442,1,19,GPS_L1,1273530264360467605,17160338.869,-16484060.052,11479976.199,1441.726,-462.127,-2748.728,-47595.426,0.001,24572720.911,3.598,0.0,9.172,13.447,24525102.866,G19,1273530265442,-2702730.4618992233,-4285315.32153025,3861492.590004151,1841.8367046056767
