Epoch index,GPS Time[s],ECEF X[m],ECEF Y[m],ECEF Z[m],Lat[deg],Lon[deg],Alt[m],Clock Bias[s],PDOP,HDOP
1,1273529463,-2694936.12137903,-4296993.89653882,3854708.58739485,37.4194164687255,-122.094611888307,401.22511344403,2.01617839853025e-06,2.08540249809341,1.02173625634389
2,1273529464,-2694751.54801769,-4297170.57636025,3855177.21874199,37.4224870245448,-122.091785189871,726.990448384546,1.12827352410959e-06,1.82020773701079,1.00598510809469
3,1273529465,-2694545.34523672,-4296444.15620763,3854783.10183482,37.423636342032,-122.094171652376,-88.2606935510412,-1.49278193383232e-07,1.82023087363089,1.00602766311221
4,1273529466,-2694556.97969619,-4296487.00924198,3854817.07891915,37.423646836445,-122.094025779655,-33.872158350423,-8.63527432703539e-08,1.82019074157254,1.00603665273723
5,1273529467,-2694556.23031514,-4296477.24073905,3854803.21211767,37.4235951049254,-122.094077242777,-49.1874851034954,-1.01085264447622e-07,1.82015227732417,1.00604595567935
6,1273529468,-2694551.01880372,-4296478.22888571,3854806.26261155,37.4236275107467,-122.094021431908,-48.8678536685184,-1.36388112972775e-07,1.82011351065637,1.0060556170282
7,1273529469,-2694555.75598363,-4296477.84203648,3854806.46378196,37.4236169632456,-122.094069093646,-47.0070304991677,-6.40758645021797e-08,1.82007494345485,1.00606536666544
8,1273529470,-2694561.83795484,-4296483.01402836,3854800.47832446,37.4235324482001,-122.09409625935,-44.5984253222123,-1.42926052205655e-08,1.82003693512319,1.00607461986249
9,1273529471,-2694552.83567881,-4296472.24462777,3854793.85536193,37.4235612030225,-122.094074741854,-59.6673452463001,-7.16641956063459e-08,1.81999905099134,1.0060847253754
10,1273529472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1273529473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1273529474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
