Epoch index,GPS Time[s],ECEF X[m],ECEF Y[m],ECEF Z[m],Lat[deg],Lon[deg],Alt[m],Clock Bias[s],PDOP,HDOP
1,1303160577,-2683132.37072156,-4310733.25317943,3846967.88509895,37.3344721544882,-121.899398727722,-8.63446936570108,-3.40065720258215e-08,3.08744272212935,1.90842696304742
2,1303160578,-2683126.69451633,-4310729.52286042,3846970.6684468,37.3345257911789,-121.899366593245,-11.8494398640469,-9.99533352235251e-08,2.79384819093093,1.38700191282295
3,1303160579,-2683127.34100721,-4310731.84958873,3846980.42038138,37.3345829948061,-121.899358912657,-4.09296651463956,-5.63088918418502e-08,2.79377462691116,1.38717900367623
4,1303160580,-2683127.53902204,-4310735.16217161,3846986.57297054,37.3346111334202,-121.899341057186,1.95767089817673,-1.3107703455809e-08,2.79370378299046,1.38735737491876
5,1303160581,-2683127.80241977,-4310733.95616747,3846984.15369539,37.3345986356623,-121.899350771751,-0.212962371297181,6.04030085551188e-09,2.79363417724601,1.38753703957959
6,1303160582,-2683127.04242186,-4310729.56993593,3846977.12879675,37.3345708513089,-121.899369645466,-7.75349205173552,-7.96820830567485e-08,2.79356454362149,1.38771697291398
7,1303160583,-2683130.24687969,-4310730.67581656,3846979.67796413,37.3345747304218,-121.899393749855,-4.11462312377989,-5.0790429491344e-08,2.79349380424148,1.38789628100074
8,1303160584,-2683131.19973067,-4310734.6141858,3846986.87852593,37.3346052940866,-121.899379394193,3.31114948261529,-6.06590763175014e-09,2.79342171614082,1.388074301413
9,1303160585,-2683131.04284064,-4310736.48148878,3846984.44385243,37.3345796419054,-121.89936675674,3.02916037384421,-7.35435883465534e-08,2.79335073306802,1.38825346480434
10,1303160586,-2683131.33248343,-4310737.01401694,3846986.78209843,37.3345930866054,-121.899366356119,4.92840019706637,-4.20968623526393e-08,2.79327911575698,1.38843202703234
11,1303160587,-2683131.33374732,-4310731.04619468,3846981.82947105,37.3345852874993,-121.899401953493,-2.10313009936363,-3.15446510539541e-08,2.79320925097264,1.38861193413638
12,1303160588,-2683131.97796418,-4310735.43237675,3846986.52774208,37.3345967380374,-121.899381970883,3.97769300080836,1.39761148946986e-08,2.79313579206758,1.38878973160212
13,1303160589,-2683132.17151771,-4310734.74724366,3846986.24961731,37.3345973650807,-121.899387910466,3.42785796243697,-6.18899629248134e-08,2.79306448972413,1.38896871901553
14,1303160590,-2683132.68449905,-4310735.36931187,3846989.02973589,37.334612915116,-121.899389115502,5.74935969524086,-2.79354190872608e-08,2.79299295287341,1.38914742556807
15,1303160591,-2683131.92988885,-4310731.61191506,3846983.67088721,37.3345941338082,-121.899404291193,-0.354018210433424,-1.27674929701973e-08,2.7929233612613,1.38932739430088
16,1303160592,-2683130.68782303,-4310733.65513058,3846981.17577956,37.3345703660964,-121.899380208846,-1.00985803082585,-8.1200599924785e-08,2.79285309004976,1.38950675085392
17,1303160593,-2683128.07952273,-4310736.07350325,3846988.22943813,37.3346172120187,-121.89934080103,3.80453696660697,-3.79152998327429e-08,2.792782050469,1.38968476192936
18,1303160594,-2683126.25205239,-4310733.85573791,3846985.2969877,37.3346117691304,-121.899336518129,-0.238782557658851,-1.55863988445294e-08,2.79271198387221,1.38986420760776
19,1303160595,-2683129.09007502,-4310731.27804485,3846983.55230952,37.334603033406,-121.899379076704,-1.84447433520108,6.51064609570166e-09,2.79264102616167,1.39004401509936
20,1303160596,-2683128.80638324,-4310727.4669169,3846975.98643381,37.3345673299813,-121.89939908418,-9.12475383281708,-7.78389693207033e-08,2.7925720846946,1.39022465006414
21,1303160597,-2683126.1400087,-4310729.38589649,3846978.43518485,37.334583670102,-121.899362097774,-7.46459689736366,-4.67764132004186e-08,2.79249847925209,1.39040219634935
22,1303160598,-2683127.24864375,-4310728.90021064,3846976.1359118,37.3345662496201,-121.899375614545,-8.72108313720673,-2.20955091284801e-08,2.79242904213234,1.39058236641421
23,1303160599,-2683128.88232263,-4310729.82036867,3846973.06492387,37.3345352623008,-121.899385778363,-9.27600238006562,-9.43081317197169e-08,2.79235827621134,1.39076224803185
24,1303160600,-2683127.54825816,-4310734.40135292,3846974.46867598,37.3345279190983,-121.899345682316,-5.89289319049567,-5.13252775429332e-08,2.79228673753037,1.39094091580766
25,1303160601,-2683128.22518017,-4310737.53254595,3846983.51808942,37.3345762697337,-121.899333496374,1.99334636796266,-7.94681967695074e-09,2.79221591906296,1.39111950701117
26,1303160602,-2683127.9092394,-4310734.72701934,3846984.78460052,37.3345992709735,-121.899347198603,0.734889827668667,-8.70586322747316e-08,2.79214372144751,1.39129820494332
27,1303160603,-2683130.79244367,-4310731.21248284,3846981.93905971,37.3345868642271,-121.899395776272,-2.15185201354325,-6.9872077769639e-08,2.7920750205452,1.39147907737771
28,1303160604,-2683129.72145901,-4310735.31806547,3846986.1923387,37.3346013813165,-121.899361035279,2.74902971833944,-2.63930682775148e-08,2.79200297254087,1.39165741022953
29,1303160605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1303160606,-2683129.51010586,-4310731.99266611,3846977.91898047,37.3345581471068,-121.899378839399,-4.60204139631242,-7.99264892466314e-08,2.79186453206548,1.39201820574418
31,1303160607,-2683126.51799754,-4310729.58278114,3846979.55859975,37.3345897135775,-121.899364544901,-6.4915634682402,-5.7898071072935e-08,2.79179292053811,1.39219672897476
32,1303160608,-2683123.67466681,-4310727.43670571,3846975.13824324,37.3345762118358,-121.899350102609,-11.8156797066331,-4.12015280372542e-08,2.79172293039865,1.39237642849437
33,1303160609,-2683118.84052151,-4310728.68817831,3846981.94215189,37.3346331094046,-121.899296329219,-8.87564317602664,-1.0415645764772e-07,2.79165217607213,1.3925545353121
34,1303160610,-2683108.79586579,-4310732.13320178,3846987.06622526,37.3346828416501,-121.899179559302,-7.66288089659065,-6.85859929531977e-08,2.79158043609061,1.3927316282074
35,1303160611,-2683099.99259036,-4310731.37453488,3846985.16690158,37.3346981743572,-121.899099747601,-13.0256223706529,-5.02613278003102e-08,2.7915109837167,1.39291036992537
36,1303160612,-2683089.2143934,-4310738.62821449,3846987.82273636,37.3347146723682,-121.898953239769,-11.0469811772928,-1.00060515416886e-08,2.79143836233242,1.39308718952279
37,1303160613,-2683083.82178471,-4310735.47196227,3846995.51204026,37.3347999739976,-121.898920398455,-10.779921955429,-8.86641123884934e-08,2.79136952916426,1.39326592198238
38,1303160614,-2683075.95125013,-4310736.33172762,3846999.68226319,37.3348485881367,-121.898839871657,-10.9772433768958,-6.12811705678021e-08,2.79129929310734,1.39344408407178
39,1303160615,-2683065.91712742,-4310739.7687912,3847004.89703301,37.3348989761815,-121.898723249524,-9.7103376025334,-2.85362570701416e-08,2.7912267537444,1.39362092821762
40,1303160616,-2683057.48288799,-4310739.06347111,3847008.77349976,37.334954374292,-121.898646654399,-11.3791049243882,-1.05826106854071e-07,2.79115657284888,1.39379905311704
41,1303160617,-2683046.66752852,-4310746.54237048,3847014.76237396,37.3349938124625,-121.898498447199,-7.24255553819239,-6.42913173712981e-08,2.79108523480339,1.39397612860667
42,1303160618,-2683032.74127602,-4310749.35061744,3847016.06892182,37.3350303570333,-121.898348287081,-10.4055487541482,-3.91844972366271e-08,2.79101442142509,1.3941533622355
43,1303160619,-2683020.96170217,-4310753.61746987,3847022.38568453,37.3350898297481,-121.898209994958,-8.64342538546771,-3.27708255095188e-09,2.79094286115496,1.39433023029905
44,1303160620,-2683012.25733432,-4310756.29062817,3847030.99653717,37.3351642513722,-121.898110666417,-5.27373996004462,-6.66141159675493e-08,2.79087314299932,1.39450810701735
45,1303160621,-2683007.22975876,-4310758.86438306,3847033.05542454,37.3351815781808,-121.898047154846,-4.39998698420823,-3.72295930170934e-08,2.7908023769013,1.39468679431943
46,1303160622,-2683004.04799987,-4310753.42248613,3847030.24250538,37.335195860348,-121.898049121337,-11.1161963716149,-2.97639719428341e-08,2.79073346516424,1.39486698195918
47,1303160623,-2683005.132827,-4310752.25641082,3847033.81044667,37.3352236988765,-121.89806646714,-9.28368212748319,-9.74037362847399e-08,2.79066344015207,1.39504686595923
48,1303160624,-2683001.92822615,-4310753.87309993,3847028.77548954,37.3351893808033,-121.89802612662,-12.5923276776448,-7.03109290782561e-08,2.79059454548505,1.39522723980492
49,1303160625,-2682999.40493147,-4310755.46684122,3847027.31028237,37.3351787760089,-121.897992449975,-13.4652470499277,-4.31775704408224e-08,2.79052396417827,1.39540677934668
50,1303160626,-2682997.17835364,-4310755.26802387,3847027.55802164,37.335187902513,-121.897972304392,-14.384677647613,-1.44468502550031e-08,2.79045497576764,1.39558684469448
51,1303160627,-2682994.97060018,-4310756.05690526,3847023.83172831,37.3351639218877,-121.89794644981,-17.0396272717044,-8.66113552513228e-08,2.79038069714156,1.39576535249851
